State,Utility,Policy
a1,52.027,E
a2,55.744,E
a3,59.475,E
a4,63.243,E
a5,67.051,E
a6,71.39,E
a7,88.752,E
a8,92.483,E
a9,96.232,E
a10,100.0, 
b1,49.169,E
b2,52.716,E
b3,55.99,N
b4,59.269,N
b5,56.512,W
b6,-100.0, 
b7,85.719,E
b8,89.239,E
b9,92.745,N
b10,96.232,N
c1,45.555,N
c3,52.483,N
c4,55.497,N
c5,54.977,E
c6,70.887,S
c7,82.265,E
c8,85.753,N
c9,89.239,N
c10,92.483,N
d1,45.657,E
d2,49.212,E
d4,43.976,W
d5,-100.0, 
d6,74.739,E
d7,78.779,E
d8,82.265,N
d9,85.719,N
d10,88.752,N
e1,44.908,E
e2,48.593,E
e3,52.307,E
e4,56.008,E
e5,60.272,S
e6,71.754,E
e7,75.289,N
e8,78.773,N
e9,82.188,N
e10,85.036,N
f1,41.702,N
f2,45.158,N
f3,49.235,N
f4,58.429,E
f5,63.174,E
f6,68.159,N
f7,71.792,E
f8,75.278,N
f9,78.647,N
f10,81.332,N
g1,-100.0, 
g2,21.928,N
g3,-100.0, 
g4,45.306,E
g5,47.558,N
g6,-100.0, 
g7,68.293,E
g8,71.779,N
g9,75.098,N
g10,77.641,N
h1,35.047,S
h2,38.57,S
h3,42.454,S
h4,47.42,E
h5,50.891,E
h6,54.435,S
h7,64.791,E
h8,68.275,N
h9,71.543,N
h10,73.959,N
i1,38.248,E
i2,42.026,E
i3,45.852,E
i4,49.706,E
i5,53.506,E
i6,57.37,E
i7,61.303,E
i8,64.769,N
i9,67.984,N
i10,70.287,N
j1,37.831,E
j2,41.284,E
j3,44.709,E
j4,48.102,E
j5,51.458,E
j6,54.778,E
j7,58.054,E
j8,61.277,N
j9,64.422,N
j10,66.623,N
