State,Utility,Policy
a1,30.124,E
a2,35.709,E
a3,41.213,E
a4,48.097,N
a5,71.466,E
a6,76.9,E
a7,82.431,E
a8,88.088,E
a9,93.919,E
a10,100.0, 
b1,27.087,N
b2,32.958,S
b3,33.639,W
b4,-100.0, 
b5,68.958,E
b6,74.055,E
b7,79.144,E
b8,84.193,E
b9,89.149,N
b10,93.919,N
c1,-100.0, 
c2,39.159,E
c3,44.933,E
c4,51.876,S
c5,65.123,E
c6,69.911,E
c7,74.693,E
c8,79.464,N
c9,84.193,N
c10,88.088,N
d1,27.073,S
d2,41.664,E
d3,48.447,E
d4,54.789,E
d5,61.037,E
d6,65.539,E
d7,70.05,E
d8,74.693,N
d9,79.144,N
d10,82.431,N
e1,27.615,E
e2,36.947,N
e3,46.277,E
e4,52.351,E
e5,57.703,E
e6,61.886,E
e7,65.665,E
e9,73.534,N
e10,76.784,N
f1,12.025,W
f2,-100.0, 
f3,39.365,E
f4,47.694,N
f5,56.232,E
f6,61.509,E
f7,67.163,E
f9,68.699,N
f10,71.318,N
g1,12.921,S
g2,16.806,S
g3,19.828,W
g4,-100.0, 
g5,52.806,E
g6,57.854,E
g7,62.878,E
g8,67.796,N
g9,65.092,N
g10,66.265,N
h1,16.526,E
h2,21.769,E
h3,27.339,E
h4,33.571,S
h5,48.22,E
h6,53.126,E
h7,57.893,N
h8,61.721,N
h9,60.803,N
h10,61.383,N
i1,18.291,E
i2,23.751,E
i3,29.553,E
i4,35.88,E
i5,42.974,N
i6,48.22,N
i7,52.804,N
i8,56.089,N
i9,56.172,N
i10,56.556,N
j1,17.46,E
j2,21.939,E
j3,26.138,E
j4,29.877,N
j5,29.124,W
j6,-100.0, 
j7,47.47,E
j8,50.66,N
j9,51.361,N
j10,51.733,N
