State,Utility,Policy
a1,62.658,E
a2,65.713,E
a3,68.767,E
a4,71.817,S
a5,72.149,S
a6,-100.0, 
a7,90.541,E
a8,93.693,E
a9,96.846,E
a10,100.0, 
b1,65.38,E
b2,68.571,E
b3,71.766,E
b4,74.965,E
b5,78.167,E
b6,81.37,E
b7,87.539,E
b8,90.642,E
b9,93.745,N
b10,96.846,N
c1,62.798,E
c2,65.907,E
c3,69.017,E
c4,72.171,E
c5,78.136,E
c6,81.288,E
c7,84.439,E
c8,87.541,N
c9,90.642,N
c10,93.693,N
d1,59.748,N
d2,62.762,N
d3,63.151,N
d4,-100.0, 
d5,75.133,E
d6,78.236,E
d7,81.338,E
d8,84.439,N
d9,87.539,N
d10,90.541,N
e1,56.696,N
e2,59.666,N
e3,62.969,E
e4,66.117,E
e5,72.034,E
e6,75.135,E
e7,78.237,N
e8,81.338,N
e9,84.435,N
e10,87.39,N
f1,56.729,S
f2,-100.0, 
f3,59.984,E
f4,65.74,E
f5,68.931,N
f6,72.034,N
f7,75.135,N
f8,78.236,N
f9,81.331,N
f10,84.239,N
g1,62.481,S
g2,62.915,S
g3,-100.0, 
g4,60.057,E
g5,63.023,N
g6,-100.0, 
g7,72.032,E
g8,75.135,N
g9,78.226,N
g10,81.089,N
h1,65.575,E
h2,68.778,E
h4,62.381,S
h5,59.913,N
h6,56.935,S
h8,72.031,N
h9,75.12,N
h10,77.94,N
i1,62.618,E
i2,65.721,E
i3,68.823,N
i4,65.616,W
i5,62.423,W
i6,59.894,E
i7,63.049,E
i8,68.912,E
i9,72.013,N
i10,74.792,N
j1,59.569,E
j2,62.619,N
j3,65.62,N
j4,62.57,W
j5,59.517,W
j6,59.662,E
j7,62.76,E
j8,65.856,E
j9,68.906,N
j10,71.644,N
